name,address,suburb,state,postcode,latitude,longitude,phone,opening_hours,venue_type,source
Camperdown Library,212 Manifold Street,Camperdown,VIC,3260,-38.13,143.1,5593 2356,,Library,Libraries_VIC
Carlton Library,"667 Rathdowne Street, North Carlton",Carlton,VIC,3053,-37.78,144.97,1300 695 427,,Library,Libraries_VIC
Carnegie Library,7 Shepparson Avenue,Carnegie,VIC,3163,-37.89,145.06,9524 3700,,Library,Libraries_VIC
Caroline Springs Library,193-201 Caroline Springs Blvd,Caroline Springs,VIC,3023,-37.75,144.75,9747 5300,,Library,Libraries_VIC
Carrum Downs Library,203 Lyrebird Drive,Carrum Downs,VIC,3201,-38.09,145.19,8773 9539,,Library,Libraries_VIC
Casterton Town Hall,67 Henty Street,Casterton,VIC,3311,-37.58,141.41,5554 2444,,Library,Libraries_VIC
Castlemaine Library,212 Barker Street,Castlemaine,VIC,3450,-37.06,144.22,5472 1458,,Library,Libraries_VIC
Caulfield Library,Cnr Glen Eira & Hawthorn Roads,Caulfield,VIC,3162,-37.88,145.03,9524 3700,,Library,Libraries_VIC
Charlton Library,"Charlton Hall Supper Room, Armstrong Street",Charlton,VIC,3525,-36.27,143.43,1300 520 520,,Library,Libraries_VIC
Chelsea Library,1A Chelsea Road,Chelsea,VIC,3196,-38.06,145.12,1300 135 668,,Library,Libraries_VIC
Cheltenham Library,12 Stanley Avenue,Cheltenham,VIC,3192,-37.96,145.06,1300 135 668,,Library,Libraries_VIC
Chiltern Library,Conness Street,Chiltern,VIC,3683,-36.15,146.61,02 6028 1143,,Library,Libraries_VIC
Churchill Hub,9-11 Philip Parade,Churchill,VIC,3842,-38.32,146.42,5120 3840,,Library,Libraries_VIC
Clarinda Library,58A Viney Street,Clarinda,VIC,3169,-37.94,145.1,1300 135 668,,Library,Libraries_VIC
Clayton Library,9-15 Cooke Street,Clayton,VIC,3168,-37.93,145.12,9541 3120,,Library,Libraries_VIC
The Warehouse,36 Fraser Street,Clunes,VIC,3370,-37.29,143.79,5345 3359,,Library,Libraries_VIC
Cobden Library,55 Victoria Street,Cobden,VIC,3266,-38.34,143.14,5595 1228,,Library,Libraries_VIC
Cobram Library,14 Punt Road,Cobram,VIC,3643,-35.96,145.63,1300 374 765,,Library,Libraries_VIC
Coburg Library,Cnr Victoria & Louisa Streets,Coburg,VIC,3058,-37.73,144.96,9353 4000,,Library,Libraries_VIC
Cohuna Library,23-25 King Edward Street,Cohuna,VIC,3568,-35.84,144.34,5456 2124,,Library,Libraries_VIC
Colac Library,173 Queen Street,Colac,VIC,3250,-38.34,143.58,5231 4613,,Library,Libraries_VIC
Collingwood Library,"11 Stanton Street, Abbotsford",Collingwood,VIC,3066,-37.8,144.98,1300 695 427,,Library,Libraries_VIC
Corio Library,Cox Road (cnr Moa St),Corio,VIC,3214,-38.07,144.36,4201 0658,,Library,Libraries_VIC
Corryong Library,76 Hanson Street,Corryong,VIC,3707,-36.28,148.03,02 6076 1639,,Library,Libraries_VIC
Craigieburn Library,75-95 Central Park Avenue,Craigieburn,VIC,3064,-37.6,144.94,9356 6980,,Library,Libraries_VIC
Casey Complex,65 Berwick-Cranbourne Road,Cranbourne,VIC,3977,-38.21,145.32,5990 0150,,Library,Libraries_VIC
Creswick Library,68 Albert Street,Creswick,VIC,3363,-37.42,143.89,5345 2145,,Library,Libraries_VIC
Croydon Library,Civic Square,Croydon,VIC,3136,-37.8,145.28,1300 737 277,,Library,Libraries_VIC
Dandenong Library,225 Lonsdale Street,Dandenong,VIC,3175,-38.03,145.18,8571 1489,,Library,Libraries_VIC
Daylesford Library,33 Albert Street,Daylesford,VIC,3460,-37.31,144.09,5348 2800,,Library,Libraries_VIC
Derrinallum Library,44 Main Street,Derrinallum,VIC,3325,-37.95,143.22,5597 6658,,Library,Libraries_VIC
Dimboola Library,101 Lloyd Street,Dimboola,VIC,3414,-36.3,142.02,5391 4452,,Library,Libraries_VIC
Dingley Village Library,31C Marcus Road,Dingley Village,VIC,3172,-37.97,145.12,1300 135 668,,Library,Libraries_VIC
Library at The Dock,107 Harbour Promenade,Docklands,VIC,3008,-37.81,144.95,9658 9998,,Library,Libraries_VIC
Donald Community House,70 Woods Street,Donald,VIC,3480,-36.24,142.69,1300 520 520,,Library,Libraries_VIC
MC2,687 Doncaster Road,Doncaster,VIC,3108,-37.78,145.12,9877 8500,,Library,Libraries_VIC
Doncaster East Library,refer to “The Pines”,Doncaster East,VIC,3109,-37.81,145.19,9877 8550,,Library,Libraries_VIC
Doveton Library,24 Autumn Place,Doveton,VIC,3177,-38.0,145.24,9792 9497,,Library,Libraries_VIC
Drouin Library,136 Princes Way,Drouin,VIC,3818,-38.24,145.78,5625 1564,,Library,Libraries_VIC
Drysdale Library,2-8 Wyndham Street,Drysdale,VIC,3222,-38.16,144.56,4201 0656,,Library,Libraries_VIC
Dunolly Library,42 Market Street,Dunolly,VIC,3472,-36.92,143.76,5461 0679,,Library,Libraries_VIC
Eaglehawk Library,1 Sailors Gully Road,Eaglehawk,VIC,3556,-36.73,144.26,5446 7577,,Library,Libraries_VIC
East Melbourne Library,122 George Street,East Melbourne,VIC,3002,-37.82,144.99,9658 9600,,Library,Libraries_VIC
Echuca Library,310 Hare Street,Echuca,VIC,3564,-36.13,144.73,5481 2400,,Library,Libraries_VIC
Edenhope Library,78 Elizabeth Street,Edenhope,VIC,3318,-36.99,141.51,5585 1302,,Library,Libraries_VIC
Elsternwick Library,4 Staniland Grove,Elsternwick,VIC,3185,-37.88,145.0,9524 3700,,Library,Libraries_VIC
Eltham Library,Panther Place,Eltham,VIC,3095,-37.71,145.15,9439 9266,,Library,Libraries_VIC
Emerald Library,400B Belgrave-Gembrook Rd,Emerald,VIC,3782,-37.92,145.47,5949 4600,,Library,Libraries_VIC
Endeavour Hills Library,10 Raymond McMahon Blvd,Endeavour Hills,VIC,3802,-37.98,145.25,8782 3400,,Library,Libraries_VIC
Euroa Library,62 Binney Street,Euroa,VIC,3666,-36.71,145.64,1300 374 765,,Library,Libraries_VIC
Fairfield Library,121 Station Street,Fairfield,VIC,3078,-37.78,145.03,1300 655 355,,Library,Libraries_VIC
Fawkner Library,Jukes Road,Fawkner,VIC,3060,-37.76,144.9,9355 4200,,Library,Libraries_VIC
Ferntree Gully Library,1010 Burwood Highway,Ferntree Gully,VIC,3156,-37.88,145.3,1300 737 277,,Library,Libraries_VIC
Bargoonga Nganjin,182 St Georges Road,Fitzroy North,VIC,3068,-37.79,144.99,1300 695 427,,Library,Libraries_VIC
Flemington Library,313 Racecourse Road,Flemington,VIC,3031,-37.79,144.93,8325 1975,,Library,Libraries_VIC
Footscray Library,56 Paisley Street,Footscray,VIC,3011,-37.8,144.9,9688 0290,,Library,Libraries_VIC
Foster Library,Main Street,Foster,VIC,3960,-38.67,146.27,5682 1735,,Library,Libraries_VIC
Frankston Library,"103 Ashleigh Ave, Frankston",Frankston,VIC,3199,-38.15,145.12,9784 1020,,Library,Libraries_VIC
Community Centre,26 Mahogany Avenue,Frankston North,VIC,3200,-38.17,145.19,9784 1020,,Library,Libraries_VIC
Geelong Library,51 Little Malop Street,Geelong,VIC,3220,-38.18,145.11,4201 0600,,Library,Libraries_VIC
Geelong West Library,153A Pakington Street,Geelong West,VIC,3218,-38.14,144.35,4201 0660,,Library,Libraries_VIC
Gisborne Library,8 Hamilton Street,Gisborne,VIC,3437,-37.52,144.48,5428 3962,,Library,Libraries_VIC
Gladstone Park Library,Taylor Drive,Gladstone Park,VIC,3043,-37.69,144.88,9356 6990,,Library,Libraries_VIC
Glen Waverley Library,112 Kingsway,Glen Waverley,VIC,3150,-37.88,145.17,9518 3030,,Library,Libraries_VIC
Glenroy Library,50 Wheatsheaf Road,Glenroy,VIC,3046,-37.7,144.92,8311 4100,,Library,Libraries_VIC
Goroke Library,30 Main Street,Goroke,VIC,3412,-36.75,141.47,5386 1360,,Library,Libraries_VIC
Grantville Library,1504-1510 Bass Highway,Grantville,VIC,3984,-38.32,145.54,5672 1875,,Library,Libraries_VIC
Greensborough Library,Civic Drive,Greensborough,VIC,3088,-37.71,145.12,9434 3809,,Library,Libraries_VIC
Hamilton Library,105 Brown Street,Hamilton,VIC,3300,-37.88,141.96,5573 0470,,Library,Libraries_VIC
Western Heights College,37-61Vines Road,Hamlyn Heights,VIC,3215,-38.11,144.33,5277 1177,,Library,Libraries_VIC
Hampton Library,1D Service Street,Hampton,VIC,3188,-37.93,145.03,9261 7825,,Library,Libraries_VIC
Hampton Park Library,26 Stuart Avenue,Hampton Park,VIC,3976,-38.03,145.27,8788 8500,,Library,Libraries_VIC
Public Hall,29 Blair Street,Harrow,VIC,3317,-37.12,141.6,5588 1352,,Library,Libraries_VIC
Hastings Library,7 High Street,Hastings,VIC,3915,-38.31,145.19,5950 1710,,Library,Libraries_VIC
Hawthorn Library,584 Glenferrie Road,Hawthorn,VIC,3122,-37.84,145.05,9278 4666,,Library,Libraries_VIC
Healesville Library,231 Maroondah Highway,Healesville,VIC,3777,-37.69,145.54,1300 737 277,,Library,Libraries_VIC
Heathcote Library,125 High Street,Heathcote,VIC,3523,-36.94,144.73,5433 3734,,Library,Libraries_VIC
Heyfield Library,42 MacFarlane Street,Heyfield,VIC,3858,-37.97,146.69,5148 2644,,Library,Libraries_VIC
Glenelg Shire Council,77 Edgar Street,Heywood,VIC,3304,-38.15,141.97,5527 0666,,Library,Libraries_VIC
Highett Library,310 Highett Road,Highett,VIC,3190,-37.95,145.03,1300 135 668,,Library,Libraries_VIC
Hoppers Crossing Library,"Pacific Werribee Shopping Centre,",Hoppers Crossing,VIC,3029,-37.88,144.7,8734 2600,,Library,Libraries_VIC
Mibus Centre,28 McLachlan Street,Horsham,VIC,3400,-36.71,142.2,5382 1777,,Library,Libraries_VIC
Inverloch Library,16 A’Beckett Street,Inverloch,VIC,3996,-38.63,145.73,5674 1169,,Library,Libraries_VIC
Ivanhoe Library & Cultural Hub,275 Upper Heidelberg Road,Ivanhoe,VIC,3079,-37.77,145.04,9497 5780,,Library,Libraries_VIC
Jeparit Library,10 Roy Street,Jeparit,VIC,3423,-36.14,141.99,5391 4450,,Library,Libraries_VIC
Kangaroo Flat Library,267 High Street,Kangaroo Flat,VIC,3555,-36.83,144.23,5447 8344,,Library,Libraries_VIC
Municipal Precinct,25 Baker Street,Kaniva,VIC,3419,-36.38,141.24,5392 2723,,Library,Libraries_VIC
Keilor Library,704B Old Calder Highway,Keilor,VIC,3036,-37.72,144.83,9249 4670,,Library,Libraries_VIC
Kerang Library,Cnr Murray Valley Highway & Shadforth Street,Kerang,VIC,3579,-35.88,143.87,5452 1546,,Library,Libraries_VIC
Kew Library,Cnr Cotham Road & Civic Drive,Kew,VIC,3101,-37.81,145.04,9278 4666,,Library,Libraries_VIC
Kilmore Library,12 Sydney Road,Kilmore,VIC,3764,-37.31,144.89,5734 6451,,Library,Libraries_VIC
Kinglake Library,19 Whittlesea Road,Kinglake,VIC,3763,-37.48,145.28,5772 0333,,Library,Libraries_VIC
Vision Australia Library,454 Glenferrie Road,Kooyong,VIC,3144,-37.84,145.03,1300 654 656,,Library,Libraries_VIC
Old Borough Chambers,102 High St,Koroit,VIC,3282,-38.33,142.41,5565 8230,,Library,Libraries_VIC
Korumburra Library,165 Commercial Street,Korumburra,VIC,3950,-38.45,145.88,5655 1105,,Library,Libraries_VIC
Kyabram Library,19 Lake Road,Kyabram,VIC,3619,-37.66,144.94,5481 2867,,Library,Libraries_VIC
Kyneton Library,3 Baynton Street,Kyneton,VIC,3444,-37.09,144.51,5422 1365,,Library,Libraries_VIC
Lake Bolac Library,2110 Glenelg Highway,Lake Bolac,VIC,3351,-37.77,143.68,5350 2204,,Library,Libraries_VIC
Lakes Entrance Library,18 Mechanics Street,Lakes Entrance,VIC,3909,-37.86,147.92,5153 9500,,Library,Libraries_VIC
Lalor Library,2A May Road,Lalor,VIC,3075,-37.67,145.02,9465 2353,,Library,Libraries_VIC
Langwarrin Library,"Council Services Centre,",Langwarrin,VIC,3910,-38.15,145.19,1300 322 322,,Library,Libraries_VIC
Lara Library,5 Walkers Road,Lara,VIC,3212,-38.02,144.41,4201 0668,,Library,Libraries_VIC
Leitchville Library,King Albert Avenue,Leitchville,VIC,3567,-35.89,144.24,5456 7031,,Library,Libraries_VIC
Leongatha Library,2 Smith Street,Leongatha,VIC,3953,-38.41,146.07,5662 4829,,Library,Libraries_VIC
Leopold Library,31-39 Kensington Road,Leopold,VIC,3224,-38.18,144.46,4201 0675,,Library,Libraries_VIC
Lilydale Library,"Building LA, Box Hill Institute,",Lilydale,VIC,3140,-37.76,145.35,1300 737 277,,Library,Libraries_VIC
Little River Library,"Little River Mechanics Hall & Free Library,",Little River,VIC,3211,-37.97,144.53,,,Library,Libraries_VIC
Maffra Library,150 Johnson Street,Maffra,VIC,3860,-37.88,146.99,5147 1052,,Library,Libraries_VIC
Maldon Athenaeum,97 High Street,Maldon,VIC,3463,-36.98,143.95,5475 1326,,Library,Libraries_VIC
Mallacoota Library,70 Maurice Avenue,Mallacoota,VIC,3892,-37.55,149.73,5153 9500,,Library,Libraries_VIC
Phoenix Park,26 Rob Roy Road,Malvern East,VIC,3145,-37.88,145.04,8290 4000,,Library,Libraries_VIC
Mansfield Library,2 Collopy Street,Mansfield,VIC,3722,-37.01,146.22,5775 2176,,Library,Libraries_VIC
Maryborough Library,Cnr Alma & Nolan Streets,Maryborough,VIC,3465,-37.07,143.68,5461 9111,,Library,Libraries_VIC
narrm ngarrgu Library,141 Therry Street,Melbourne,VIC,3000,-37.81,144.97,9322 3700,,Library,Libraries_VIC
Melton Library,31 McKenzie Street,Melton,VIC,3337,-37.68,144.59,9747 5300,,Library,Libraries_VIC
Merbein Library,11 Main Avenue,Merbein,VIC,3505,-34.2,142.06,5018 8361,,Library,Libraries_VIC
Mernda Library,180 Riverdale Boulevard,Mernda,VIC,3754,-37.62,145.15,9117 6116,,Library,Libraries_VIC
Mildura Library,180 Deakin Avenue,Mildura,VIC,3500,-34.18,142.16,5018 8350,,Library,Libraries_VIC
Mill Park Library,394 Plenty Road,Mill Park,VIC,3082,-37.67,145.06,9437 8189,,Library,Libraries_VIC
Mirboo North Library,2 Brennan Street,Mirboo North,VIC,3871,-38.29,146.05,5668 1528,,Library,Libraries_VIC
Moe Library,1-29 George Street,Moe,VIC,3825,-37.7,146.36,5135 8500,,Library,Libraries_VIC
Montrose Library,Cnr Mt Dandenong Tourist & Swansea Roads,Montrose,VIC,3765,-37.81,145.34,1300 737 277,,Library,Libraries_VIC
Sam Merrifield Library,762 Mt Alexander Road,Moonee Ponds,VIC,3039,-37.77,144.92,8325 1950,,Library,Libraries_VIC
Mooroolbark Library,7 Station Street,Mooroolbark,VIC,3138,-37.77,145.33,1300 737 277,,Library,Libraries_VIC
Mooroopna Library,9-11 Morrell Street,Mooroopna,VIC,3629,-36.38,145.3,1300 374 765,,Library,Libraries_VIC
Mornington Library,Vancouver Street,Mornington,VIC,3931,-38.24,145.06,5950 1820,,Library,Libraries_VIC
Mortlake Library,101 Dunlop Street,Mortlake,VIC,3272,-38.08,142.81,5599 2410,,Library,Libraries_VIC
Morwell Library,63-65 Elgin Street,Morwell,VIC,3840,-38.28,146.32,5128 6131,,Library,Libraries_VIC
Mount Beauty Library,61 Lakeside Avenue,Mount Beauty,VIC,3699,-36.81,147.22,5754 4305,,Library,Libraries_VIC
Mount Waverley Library,41 Miller Crescent,Mount Waverley,VIC,3149,-37.88,145.13,9518 3950,,Library,Libraries_VIC
Mulgrave Library,36 Mackie Road,Mulgrave,VIC,3170,-37.87,145.1,9518 3502,,Library,Libraries_VIC
Murrayville Library,"Pioneer Park, Grey Street",Murrayville,VIC,3512,-35.22,141.09,5018 8661,,Library,Libraries_VIC
Myrtleford Library,20 O’Donnell Ave,Myrtleford,VIC,3736,-36.46,146.48,5751 1591,,Library,Libraries_VIC
Nagambie Library,352 High Street,Nagambie,VIC,3608,-36.7,145.03,1300 374 765,,Library,Libraries_VIC
Narre Warren Library,"2 Patrick NE Drive, Narre Warren",Narre Warren,VIC,3805,-38.02,145.3,8782 3300,,Library,Libraries_VIC
Nathalia Library,75 Blake Street,Nathalia,VIC,3638,-36.15,145.17,1300 374 765,,Library,Libraries_VIC
Neerim South Library,Neerim East Road,Neerim South,VIC,3831,-37.96,145.99,5628 1621,,Library,Libraries_VIC
Newcomb Library,Bellarine Hwy (cnr Wilsons Road),Newcomb,VIC,3219,-38.18,144.38,4201 0657,,Library,Libraries_VIC
Library at Newport Community Hub,13 Mason St,Newport,VIC,3015,-37.84,144.88,,,Library,Libraries_VIC
Nhill Library,5 Clarence Street,Nhill,VIC,3418,-36.17,141.33,5391 4449,,Library,Libraries_VIC
Niddrie Library,483 Keilor Road,Niddrie,VIC,3042,-37.71,144.89,8325 1925,,Library,Libraries_VIC
North Melbourne Library,66 Errol Street,North Melbourne,VIC,3051,-37.91,145.06,9658 9700,,Library,Libraries_VIC
Northcote Library,32-38 Separation Street,Northcote,VIC,3070,-37.77,145.0,1300 655 355,,Library,Libraries_VIC
Numurkah Library,18 McCaskill Streets,Numurkah,VIC,3636,-36.14,145.5,1300 374 765,,Library,Libraries_VIC
Nunawading Library,379 Whitehorse Road,Nunawading,VIC,3131,-37.84,145.18,9872 8600,,Library,Libraries_VIC
Oakleigh Library,148 Drummond Street,Oakleigh,VIC,3166,-37.9,145.08,9518 3970,,Library,Libraries_VIC
Ocean Grove Library,Presidents Ave (cnr The Avenue),Ocean Grove,VIC,3226,-38.27,144.54,4201 0655,,Library,Libraries_VIC
Omeo Library,179 Day Avenue,Omeo,VIC,3898,-37.02,147.47,5153 9500,,Library,Libraries_VIC
Orbost Library,1 Ruskin Street,Orbost,VIC,3888,-37.15,148.88,5153 9500,,Library,Libraries_VIC
Ouyen Library,79 Oke Street,Ouyen,VIC,3490,-35.2,141.6,5018 8600,,Library,Libraries_VIC
Pakenham Library,Cnr John & Henry Streets,Pakenham,VIC,3810,-38.08,145.49,5940 6200,,Library,Libraries_VIC
Parkdale Library,96 Parkers Road,Parkdale,VIC,3195,-38.03,145.1,1300 135 668,,Library,Libraries_VIC
Patterson Lakes Library,54 Thompsons Road,Patterson Lakes,VIC,3197,-38.08,145.12,1300 135 668,,Library,Libraries_VIC
Paynesville Library,55 The Esplanade,Paynesville,VIC,3880,-37.92,147.69,5153 9500,,Library,Libraries_VIC
Point Cook Library,1-21 Cheetham Street,Point Cook,VIC,3030,-37.97,144.58,9395 7966,,Library,Libraries_VIC
Poowong Library,18 Ranceby Road,Poowong,VIC,3988,-38.29,145.89,5659 2349,,Library,Libraries_VIC
Port Fairy Library,65 Sackville Street,Port Fairy,VIC,3284,-38.21,142.15,5568 2248,,Library,Libraries_VIC
Port Melbourne Library,333 Bay Street,Port Melbourne,VIC,3207,-37.83,144.96,9209 6644,,Library,Libraries_VIC
Portland Library,38 Bentinck Street,Portland,VIC,3305,-38.27,141.65,5522 2265,,Library,Libraries_VIC
Prahran Library,"PMI Victorian History Library,",Prahran,VIC,3181,-37.85,144.99,9510 3393,,Library,Libraries_VIC
Preston Library,266 Gower Street,Preston,VIC,3072,-37.74,145.03,1300 655 355,,Library,Libraries_VIC
Quambatook Library,Guthrie Street,Quambatook,VIC,3540,-35.76,143.45,5457 1220,,Library,Libraries_VIC
Queenscliff Library,55 Hesse Street,Queenscliff,VIC,3225,-38.29,144.61,4201 0663,,Library,Libraries_VIC
Rainbow Library,49 Federal Street,Rainbow,VIC,3424,-35.69,141.97,5391 4451,,Library,Libraries_VIC
Red Cliffs Library,Jamieson Ave,Red Cliffs,VIC,3496,-34.29,142.15,5018 8366,,Library,Libraries_VIC
Reservoir Library,23 Edwardes Street,Reservoir,VIC,3073,-37.69,145.01,1300 655 355,,Library,Libraries_VIC
Richmond Library,415 Church Street,Richmond,VIC,3121,-37.83,145.01,1300 695 427,,Library,Libraries_VIC
Ringwood Library,"179 Maroondah High, Ringwood",Ringwood,VIC,3134,-37.81,145.23,1300 737 277,,Library,Libraries_VIC
Robinvale Library,88 George Street,Robinvale,VIC,3549,-34.85,142.83,5036 2461,,Library,Libraries_VIC
Rochester Library,Cnr Gillies & Moore St (Temporary),Rochester,VIC,3561,-36.3,144.67,5481 2868,,Library,Libraries_VIC
Romsey Library,98 Main Street,Romsey,VIC,3434,-37.39,144.64,5429 3086,,Library,Libraries_VIC
Rosebud Library,McDowell Street,Rosebud,VIC,3939,-38.4,144.9,5950 1230,,Library,Libraries_VIC
Rosedale Library,2-8 Cansick Street,Rosedale,VIC,3847,-38.26,146.75,5199 2547,,Library,Libraries_VIC
Rowville Library,"Stud Park Shopping Centre, Stud Rd",Rowville,VIC,3178,-37.93,145.24,1300 737 277,,Library,Libraries_VIC
Rushworth Library,34 Esmonde Street (Temporary),Rushworth,VIC,3612,-36.59,144.95,5481 2873,,Library,Libraries_VIC
Rutherglen Library,153 High Street,Rutherglen,VIC,3685,-36.1,146.22,1300 365 003,,Library,Libraries_VIC
Sale Library,70 Foster Street,Sale,VIC,3850,-38.42,147.08,5142 3575,,Library,Libraries_VIC
San Remo Library,92 Back Beach Road,San Remo,VIC,3925,-38.54,145.34,5644 3320,,Library,Libraries_VIC
Sandringham Library,2-8 Waltham Street,Sandringham,VIC,3191,-37.95,145.01,9261 7825,,Library,Libraries_VIC
Tyrell College,10 Sutcliffe Street,Sea Lake,VIC,3533,-35.36,142.79,1300 520 520,,Library,Libraries_VIC
Seaford Community Centre,1/6R Broughton Street,Seaford,VIC,3198,-38.11,145.16,9784 1048,,Library,Libraries_VIC
Sebastopol Library,181 Albert Street,Sebastopol,VIC,3356,-37.59,143.83,5335 7985,,Library,Libraries_VIC
Seymour Library,125 Anzac Avenue,Seymour,VIC,3660,-37.09,145.5,5734 6453,,Library,Libraries_VIC
Shepparton Library,41-42 Marungi Street,Shepparton,VIC,3630,-36.36,145.4,1300 374 765,,Library,Libraries_VIC
Skipton Library,"5 Anderson Street, Skipton",Skipton,VIC,3361,-37.78,143.41,5597 6658,,Library,Libraries_VIC
Somerville Library,1085 Frankston Flinders Road,Somerville,VIC,3912,-38.2,145.23,5950 1638,,Library,Libraries_VIC
Sorrento Community Centre,860-868 Melbourne Road,Sorrento,VIC,3943,-38.34,144.74,5984 3360,,Library,Libraries_VIC
