name,address,suburb,state,postcode,latitude,longitude,phone,opening_hours
NA,Cnr Blackburn & Central Roads,Blackburn,VIC,3130,-37.82,145.15,9896 8400,NA
NA,"Bonnie Doon Community Centre,",Bonnie Doon,VIC,3720,-37.02,145.86,5778 7722,NA
NA,Park Crescent,Boronia,VIC,3155,-37.86,145.28,1300 737 277,NA
NA,1040 Whitehorse Road,Box Hill,VIC,3128,-37.82,145.12,9896 4300,NA
NA,107-109 Churchill Avenue,Braybrook,VIC,3019,-37.78,144.86,9188 5850,NA
NA,14 Ireland Street,Bright,VIC,3741,-36.73,146.96,5755 1540,NA
NA,14 Wilson Street,Brighton,VIC,3186,-37.91,144.99,9261 7825,NA
NA,Hurlingham Park (Locker),Brighton East,VIC,3187,-37.9,145,NA,NA
NA,113 High Street,Broadford,VIC,3658,-37.2,145.05,5734 6451,NA
NA,1093 Pascoe Vale Road,Broadmeadows,VIC,3047,-37.68,144.92,9356 6900,NA
NA,Cnr Sydney Road & Dawson Street,Brunswick,VIC,3056,-37.76,144.94,9389 8600,NA
Campbell Turnbull Library,220 Melville Road,Brunswick West,VIC,3055,-37.77,144.94,9384 9200,NA
NA,"Bulleen Plaza, Manningham Road",Bulleen,VIC,3105,-37.77,145.08,9896 8450,NA
NA,340 Camberwell Road,Camberwell,VIC,3124,-37.82,145.06,9278 4666,NA
NA,212 Manifold Street,Camperdown,VIC,3260,-38.13,143.1,5593 2356,NA
NA,"667 Rathdowne Street, North Carlton",Carlton,VIC,3053,-37.78,144.97,1300 695 427,NA
NA,"Kathleen Syme Library & Community Centre,",Carlton,VIC,3053,-37.78,144.97,9658 7300,NA
NA,7 Shepparson Avenue,Carnegie,VIC,3163,-37.89,145.06,9524 3700,NA
NA,193-201 Caroline Springs Blvd,Caroline Springs,VIC,3023,-37.75,144.75,9747 5300,NA
NA,203 Lyrebird Drive,Carrum Downs,VIC,3201,-38.09,145.19,8773 9539,NA
Casterton Town Hall,67 Henty Street,Casterton,VIC,3311,-37.58,141.41,5554 2444,NA
NA,212 Barker Street,Castlemaine,VIC,3450,-37.06,144.22,5472 1458,NA
NA,Cnr Glen Eira & Hawthorn Roads,Caulfield,VIC,3162,-37.88,145.03,9524 3700,NA
NA,"Charlton Hall Supper Room, Armstrong Street",Charlton,VIC,3525,-36.27,143.43,1300 520 520,NA
NA,1A Chelsea Road,Chelsea,VIC,3196,-38.06,145.12,1300 135 668,NA
NA,12 Stanley Avenue,Cheltenham,VIC,3192,-37.96,145.06,1300 135 668,NA
NA,Conness Street,Chiltern,VIC,3683,-36.15,146.61,02 6028 1143,NA
Churchill Hub,9-11 Philip Parade,Churchill,VIC,3842,-38.32,146.42,5120 3840,NA
NA,58A Viney Street,Clarinda,VIC,3169,-37.94,145.1,1300 135 668,NA
NA,9-15 Cooke Street,Clayton,VIC,3168,-37.93,145.12,9541 3120,NA
NA,"35 Fairbank Road, Clayton South",Clayton South,VIC,3169,-37.94,145.1,1300 135 668,NA
The Warehouse,36 Fraser Street,Clunes,VIC,3370,-37.29,143.79,5345 3359,NA
NA,55 Victoria Street,Cobden,VIC,3266,-38.34,143.14,5595 1228,NA
NA,14 Punt Road,Cobram,VIC,3643,-35.96,145.63,1300 374 765,NA
NA,Cnr Victoria & Louisa Streets,Coburg,VIC,3058,-37.73,144.96,9353 4000,NA
NA,23-25 King Edward Street,Cohuna,VIC,3568,-35.84,144.34,5456 2124,NA
NA,173 Queen Street,Colac,VIC,3250,-38.34,143.58,5231 4613,NA
NA,"11 Stanton Street, Abbotsford",Collingwood,VIC,3066,-37.8,144.98,1300 695 427,NA
NA,Cox Road (cnr Moa St),Corio,VIC,3214,-38.07,144.36,4201 0658,NA
NA,76 Hanson Street,Corryong,VIC,3707,-36.28,148.03,02 6076 1639,NA
NA,75-95 Central Park Avenue,Craigieburn,VIC,3064,-37.6,144.94,9356 6980,NA
Casey Complex,65 Berwick-Cranbourne Road,Cranbourne,VIC,3977,-38.21,145.32,5990 0150,NA
Cranbourne West Library Lounge,4 Flicka Blvd,Cranbourne West,VIC,3977,-38.21,145.32,9705 5889,NA
NA,68 Albert Street,Creswick,VIC,3363,-37.42,143.89,5345 2145,NA
NA,Civic Square,Croydon,VIC,3136,-37.8,145.28,1300 737 277,NA
NA,225 Lonsdale Street,Dandenong,VIC,3175,-38.03,145.18,8571 1489,NA
NA,"Little Library, Menzies Avenue",Dandenong North,VIC,3175,-38.03,145.18,NA,NA
NA,33 Albert Street,Daylesford,VIC,3460,-37.31,144.09,5348 2800,NA
NA,4 Neale Roads,Deer Park,VIC,3023,-37.75,144.75,9249 4660,NA
NA,44 Main Street,Derrinallum,VIC,3325,-37.95,143.22,5597 6658,NA
NA,101 Lloyd Street,Dimboola,VIC,3414,-36.3,142.02,5391 4452,NA
NA,31C Marcus Road,Dingley Village,VIC,3172,-37.97,145.12,1300 135 668,NA
Library at The Dock,107 Harbour Promenade,Docklands,VIC,3008,-37.81,144.95,9658 9998,NA
Donald Community House,70 Woods Street,Donald,VIC,3480,-36.24,142.69,1300 520 520,NA
MC2,687 Doncaster Road,Doncaster,VIC,3108,-37.78,145.12,9877 8500,NA
NA,refer to “The Pines”,Doncaster East,VIC,3109,-37.81,145.19,9877 8550,NA
NA,24 Autumn Place,Doveton,VIC,3177,-38,145.24,9792 9497,NA
NA,136 Princes Way,Drouin,VIC,3818,-38.24,145.78,5625 1564,NA
NA,2-8 Wyndham Street,Drysdale,VIC,3222,-38.16,144.56,4201 0656,NA
NA,42 Market Street,Dunolly,VIC,3472,-36.92,143.76,5461 0679,NA
NA,1 Sailors Gully Road,Eaglehawk,VIC,3556,-36.73,144.26,5446 7577,NA
NA,122 George Street,East Melbourne,VIC,3002,-37.82,144.99,9658 9600,NA
NA,310 Hare Street,Echuca,VIC,3564,-36.13,144.73,5481 2400,NA
NA,78 Elizabeth Street,Edenhope,VIC,3318,-36.99,141.51,5585 1302,NA
NA,4 Staniland Grove,Elsternwick,VIC,3185,-37.88,145,9524 3700,NA
NA,Panther Place,Eltham,VIC,3095,-37.71,145.15,9439 9266,NA
NA,400B Belgrave-Gembrook Rd,Emerald,VIC,3782,-37.92,145.47,5949 4600,NA
NA,10 Raymond McMahon Blvd,Endeavour Hills,VIC,3802,-37.98,145.25,8782 3400,NA
NA,62 Binney Street,Euroa,VIC,3666,-36.71,145.64,1300 374 765,NA
NA,121 Station Street,Fairfield,VIC,3078,-37.78,145.03,1300 655 355,NA
NA,Jukes Road,Fawkner,VIC,3060,-37.76,144.9,9355 4200,NA
NA,1010 Burwood Highway,Ferntree Gully,VIC,3156,-37.88,145.3,1300 737 277,NA
Town Hall,128 Moor Street,Fitzroy,VIC,3065,-37.8,144.98,1300 695 427,NA
Bargoonga Nganjin,182 St Georges Road,Fitzroy North,VIC,3068,-37.79,144.99,1300 695 427,NA
NA,313 Racecourse Road,Flemington,VIC,3031,-37.79,144.93,8325 1975,NA
NA,56 Paisley Street,Footscray,VIC,3011,-37.8,144.9,9688 0290,NA
NA,"Footscray Mechanics’ Institute Library,",Footscray,VIC,3011,-37.8,144.9,9687 1935,NA
NA,Main Street,Foster,VIC,3960,-38.67,146.27,5682 1735,NA
NA,"103 Ashleigh Ave, Frankston",Frankston,VIC,3199,-38.15,145.12,9784 1020,NA
NA,60 Playne Street,Frankston,VIC,3199,-38.15,145.12,9784 1020,NA
Community Centre,26 Mahogany Avenue,Frankston North,VIC,3200,-38.17,145.19,9784 1020,NA
Frankston South Community Centre,"55 Towerhill Road, 3199",Frankston South,VIC,3199,-38.15,145.12,9293 7122,NA
NA,51 Little Malop Street,Geelong,VIC,3220,-38.18,145.11,4201 0600,NA
NA,153A Pakington Street,Geelong West,VIC,3218,-38.14,144.35,4201 0660,NA
NA,8 Hamilton Street,Gisborne,VIC,3437,-37.52,144.48,5428 3962,NA
NA,Taylor Drive,Gladstone Park,VIC,3043,-37.69,144.88,9356 6990,NA
NA,112 Kingsway,Glen Waverley,VIC,3150,-37.88,145.17,9518 3030,NA
NA,50 Wheatsheaf Road,Glenroy,VIC,3046,-37.7,144.92,8311 4100,NA
NA,30 Main Street,Goroke,VIC,3412,-36.75,141.47,5386 1360,NA
NA,1504-1510 Bass Highway,Grantville,VIC,3984,-38.32,145.54,5672 1875,NA
NA,Civic Drive,Greensborough,VIC,3088,-37.71,145.12,9434 3809,NA
NA,"2 Centre Way, Balwyn North",Greythorn,VIC,3104,-37.79,145.07,9276 4666,NA
NA,105 Brown Street,Hamilton,VIC,3300,-37.88,141.96,5573 0470,NA
Western Heights College,37-61Vines Road,Hamlyn Heights,VIC,3215,-38.11,144.33,5277 1177,NA
NA,1D Service Street,Hampton,VIC,3188,-37.93,145.03,9261 7825,NA
NA,26 Stuart Avenue,Hampton Park,VIC,3976,-38.03,145.27,8788 8500,NA
Public Hall,29 Blair Street,Harrow,VIC,3317,-37.12,141.6,5588 1352,NA
NA,7 High Street,Hastings,VIC,3915,-38.31,145.19,5950 1710,NA
NA,584 Glenferrie Road,Hawthorn,VIC,3122,-37.84,145.05,9278 4666,NA
NA,231 Maroondah Highway,Healesville,VIC,3777,-37.69,145.54,1300 737 277,NA
NA,125 High Street,Heathcote,VIC,3523,-36.94,144.73,5433 3734,NA
NA,42 MacFarlane Street,Heyfield,VIC,3858,-37.97,146.69,5148 2644,NA
Glenelg Shire Council,77 Edgar Street,Heywood,VIC,3304,-38.15,141.97,5527 0666,NA
NA,310 Highett Road,Highett,VIC,3190,-37.95,145.03,1300 135 668,NA
NA,Roslyn Road (cnr Belle Vue Ave),Highton,VIC,3216,-38.18,144.34,4201 0662,NA
NA,"Pacific Werribee Shopping Centre,",Hoppers Crossing,VIC,3029,-37.88,144.7,8734 2600,NA
Mibus Centre,28 McLachlan Street,Horsham,VIC,3400,-36.71,142.2,5382 1777,NA
NA,16 A’Beckett Street,Inverloch,VIC,3996,-38.63,145.73,5674 1169,NA
Ivanhoe Library & Cultural Hub,275 Upper Heidelberg Road,Ivanhoe,VIC,3079,-37.77,145.04,9497 5780,NA
NA,10 Roy Street,Jeparit,VIC,3423,-36.14,141.99,5391 4450,NA
NA,267 High Street,Kangaroo Flat,VIC,3555,-36.83,144.23,5447 8344,NA
Municipal Precinct,25 Baker Street,Kaniva,VIC,3419,-36.38,141.24,5392 2723,NA
NA,704B Old Calder Highway,Keilor,VIC,3036,-37.72,144.83,9249 4670,NA
NA,Cnr Murray Valley Highway & Shadforth Street,Kerang,VIC,3579,-35.88,143.87,5452 1546,NA
NA,Cnr Cotham Road & Civic Drive,Kew,VIC,3101,-37.81,145.04,9278 4666,NA
NA,12 Sydney Road,Kilmore,VIC,3764,-37.31,144.89,5734 6451,NA
NA,19 Whittlesea Road,Kinglake,VIC,3763,-37.48,145.28,5772 0333,NA
Vision Australia Library,454 Glenferrie Road,Kooyong,VIC,3144,-37.84,145.03,1300 654 656,NA
Old Borough Chambers,102 High St,Koroit,VIC,3282,-38.33,142.41,5565 8230,NA
NA,165 Commercial Street,Korumburra,VIC,3950,-38.45,145.88,5655 1105,NA
NA,19 Lake Road,Kyabram,VIC,3619,-37.66,144.94,5481 2867,NA
NA,3 Baynton Street,Kyneton,VIC,3444,-37.09,144.51,5422 1365,NA
NA,2110 Glenelg Highway,Lake Bolac,VIC,3351,-37.77,143.68,5350 2204,NA
NA,18 Mechanics Street,Lakes Entrance,VIC,3909,-37.86,147.92,5153 9500,NA
NA,2A May Road,Lalor,VIC,3075,-37.67,145.02,9465 2353,NA
NA,"Council Services Centre,",Langwarrin,VIC,3910,-38.15,145.19,1300 322 322,NA
NA,5 Walkers Road,Lara,VIC,3212,-38.02,144.41,4201 0668,NA
NA,King Albert Avenue,Leitchville,VIC,3567,-35.89,144.24,5456 7031,NA
NA,2 Smith Street,Leongatha,VIC,3953,-38.41,146.07,5662 4829,NA
NA,31-39 Kensington Road,Leopold,VIC,3224,-38.18,144.46,4201 0675,NA
NA,"Building LA, Box Hill Institute,",Lilydale,VIC,3140,-37.76,145.35,1300 737 277,NA
NA,"Little River Mechanics Hall & Free Library,",Little River,VIC,3211,-37.97,144.53,NA,NA
NA,150 Johnson Street,Maffra,VIC,3860,-37.88,146.99,5147 1052,NA
Maldon Athenaeum,97 High Street,Maldon,VIC,3463,-36.98,143.95,5475 1326,NA
NA,70 Maurice Avenue,Mallacoota,VIC,3892,-37.55,149.73,5153 9500,NA
NA,1255 High Street,Malvern,VIC,3144,-37.84,145.03,8290 1366,NA
Stonnington History Centre,"1257 High St, Malvern",Malvern,VIC,3144,-37.84,145.03,8290 1360,NA
Stonnington History Centre,1257 High Street,Malvern,VIC,3144,-37.84,145.03,8290 1360,NA
Phoenix Park,26 Rob Roy Road,Malvern East,VIC,3145,-37.88,145.04,8290 4000,NA
NA,2 Collopy Street,Mansfield,VIC,3722,-37.01,146.22,5775 2176,NA
Highpoint Shopping Centre,200 Rosamond Road,Maribyrnong,VIC,3032,-37.78,144.92,9688 0231,NA
NA,Cnr Alma & Nolan Streets,Maryborough,VIC,3465,-37.07,143.68,5461 9111,NA
narrm ngarrgu Library,141 Therry Street,Melbourne,VIC,3000,-37.81,144.97,9322 3700,NA
The Melbourne Athenaeum,188 Collins Street,Melbourne,VIC,3000,-37.81,144.97,9650 3100,NA
City Library,253 Flinders Lane,Melbourne,VIC,3000,-37.81,144.97,9658 9500,NA
NA,31 McKenzie Street,Melton,VIC,3337,-37.68,144.59,9747 5300,NA
NA,11 Main Avenue,Merbein,VIC,3505,-34.2,142.06,5018 8361,NA
NA,180 Riverdale Boulevard,Mernda,VIC,3754,-37.62,145.15,9117 6116,NA
NA,Cnr Nimmo & Richardson Streets,Middle Park,VIC,3206,-37.84,144.96,9209 6633,NA
NA,180 Deakin Avenue,Mildura,VIC,3500,-34.18,142.16,5018 8350,NA
NA,394 Plenty Road,Mill Park,VIC,3082,-37.67,145.06,9437 8189,NA
NA,2 Brennan Street,Mirboo North,VIC,3871,-38.29,146.05,5668 1528,NA
NA,1-29 George Street,Moe,VIC,3825,-37.7,146.36,5135 8500,NA
NA,Cnr Mt Dandenong Tourist & Swansea Roads,Montrose,VIC,3765,-37.81,145.34,1300 737 277,NA
Sam Merrifield Library,762 Mt Alexander Road,Moonee Ponds,VIC,3039,-37.77,144.92,8325 1950,NA
NA,7 Station Street,Mooroolbark,VIC,3138,-37.77,145.33,1300 737 277,NA
NA,9-11 Morrell Street,Mooroopna,VIC,3629,-36.38,145.3,1300 374 765,NA
NA,Vancouver Street,Mornington,VIC,3931,-38.24,145.06,5950 1820,NA
NA,101 Dunlop Street,Mortlake,VIC,3272,-38.08,142.81,5599 2410,NA
NA,63-65 Elgin Street,Morwell,VIC,3840,-38.28,146.32,5128 6131,NA
NA,61 Lakeside Avenue,Mount Beauty,VIC,3699,-36.81,147.22,5754 4305,NA
NA,41 Miller Crescent,Mount Waverley,VIC,3149,-37.88,145.13,9518 3950,NA
NA,36 Mackie Road,Mulgrave,VIC,3170,-37.87,145.1,9518 3502,NA
NA,"Pioneer Park, Grey Street",Murrayville,VIC,3512,-35.22,141.09,5018 8661,NA
NA,20 O’Donnell Ave,Myrtleford,VIC,3736,-36.46,146.48,5751 1591,NA
NA,352 High Street,Nagambie,VIC,3608,-36.7,145.03,1300 374 765,NA
NA,"2 Patrick NE Drive, Narre Warren",Narre Warren,VIC,3805,-38.02,145.3,8782 3300,NA
NA,"2 Patrick North East Drive, Narre Warren",Narre Warren,VIC,3805,-38.02,145.3,8782 3300,NA
NA,75 Blake Street,Nathalia,VIC,3638,-36.15,145.17,1300 374 765,NA
NA,Neerim East Road,Neerim South,VIC,3831,-37.96,145.99,5628 1621,NA
NA,Bellarine Hwy (cnr Wilsons Road),Newcomb,VIC,3219,-38.18,144.38,4201 0657,NA
Library at Newport Community Hub,13 Mason St,Newport,VIC,3015,-37.84,144.88,NA,NA
NA,51 Russell Street,Newtown,VIC,3220,-38.18,145.11,4201 0651,NA
NA,5 Clarence Street,Nhill,VIC,3418,-36.17,141.33,5391 4449,NA
NA,483 Keilor Road,Niddrie,VIC,3042,-37.71,144.89,8325 1925,NA
NA,66 Errol Street,North Melbourne,VIC,3051,-37.91,145.06,9658 9700,NA
NA,32-38 Separation Street,Northcote,VIC,3070,-37.77,145,1300 655 355,NA
NA,18 McCaskill Streets,Numurkah,VIC,3636,-36.14,145.5,1300 374 765,NA
NA,379 Whitehorse Road,Nunawading,VIC,3131,-37.84,145.18,9872 8600,NA
NA,148 Drummond Street,Oakleigh,VIC,3166,-37.9,145.08,9518 3970,NA
NA,Presidents Ave (cnr The Avenue),Ocean Grove,VIC,3226,-38.27,144.54,4201 0655,NA
NA,179 Day Avenue,Omeo,VIC,3898,-37.02,147.47,5153 9500,NA
NA,1 Ruskin Street,Orbost,VIC,3888,-37.15,148.88,5153 9500,NA
NA,79 Oke Street,Ouyen,VIC,3490,-35.2,141.6,5018 8600,NA
NA,Cnr John & Henry Streets,Pakenham,VIC,3810,-38.08,145.49,5940 6200,NA
NA,96 Parkers Road,Parkdale,VIC,3195,-38.03,145.1,1300 135 668,NA
NA,54 Thompsons Road,Patterson Lakes,VIC,3197,-38.08,145.12,1300 135 668,NA
NA,55 The Esplanade,Paynesville,VIC,3880,-37.92,147.69,5153 9500,NA
NA,1-21 Cheetham Street,Point Cook,VIC,3030,-37.97,144.58,9395 7966,NA
Saltwater Community Centre Book Shelf,"153 Saltwater Promenade, 3030",Point Cook,VIC,3030,-37.97,144.58,NA,NA
NA,18 Ranceby Road,Poowong,VIC,3988,-38.29,145.89,5659 2349,NA
NA,65 Sackville Street,Port Fairy,VIC,3284,-38.21,142.15,5568 2248,NA
NA,333 Bay Street,Port Melbourne,VIC,3207,-37.83,144.96,9209 6644,NA
NA,38 Bentinck Street,Portland,VIC,3305,-38.27,141.65,5522 2265,NA
NA,"PMI Victorian History Library,",Prahran,VIC,3181,-37.85,144.99,9510 3393,NA
NA,Prahran Square (Northern End),Prahran,VIC,3181,-37.85,144.99,8290 3344,NA
NA,266 Gower Street,Preston,VIC,3072,-37.74,145.03,1300 655 355,NA
NA,Guthrie Street,Quambatook,VIC,3540,-35.76,143.45,5457 1220,NA
NA,55 Hesse Street,Queenscliff,VIC,3225,-38.29,144.61,4201 0663,NA
NA,49 Federal Street,Rainbow,VIC,3424,-35.69,141.97,5391 4451,NA
NA,"Rainbow Bell Room Library, Oasis Hub, Lake St",Rainbow,VIC,3424,-35.69,141.97,NA,NA
NA,Jamieson Ave,Red Cliffs,VIC,3496,-34.29,142.15,5018 8366,NA
NA,23 Edwardes Street,Reservoir,VIC,3073,-37.69,145.01,1300 655 355,NA
NA,415 Church Street,Richmond,VIC,3121,-37.83,145.01,1300 695 427,NA
NA,"179 Maroondah High, Ringwood",Ringwood,VIC,3134,-37.81,145.23,1300 737 277,NA
NA,88 George Street,Robinvale,VIC,3549,-34.85,142.83,5036 2461,NA
NA,Cnr Gillies & Moore St (Temporary),Rochester,VIC,3561,-36.3,144.67,5481 2868,NA
NA,98 Main Street,Romsey,VIC,3434,-37.39,144.64,5429 3086,NA
NA,McDowell Street,Rosebud,VIC,3939,-38.4,144.9,5950 1230,NA
NA,2-8 Cansick Street,Rosedale,VIC,3847,-38.26,146.75,5199 2547,NA
NA,"Stud Park Shopping Centre, Stud Rd",Rowville,VIC,3178,-37.93,145.24,1300 737 277,NA
NA,34 Esmonde Street (Temporary),Rushworth,VIC,3612,-36.59,144.95,5481 2873,NA
NA,153 High Street,Rutherglen,VIC,3685,-36.1,146.22,1300 365 003,NA
NA,70 Foster Street,Sale,VIC,3850,-38.42,147.08,5142 3575,NA
NA,92 Back Beach Road,San Remo,VIC,3925,-38.54,145.34,5644 3320,NA
NA,2-8 Waltham Street,Sandringham,VIC,3191,-37.95,145.01,9261 7825,NA
Tyrell College,10 Sutcliffe Street,Sea Lake,VIC,3533,-35.36,142.79,1300 520 520,NA
Seaford Community Centre,1/6R Broughton Street,Seaford,VIC,3198,-38.11,145.16,9784 1048,NA
NA,181 Albert Street,Sebastopol,VIC,3356,-37.59,143.83,5335 7985,NA
NA,125 Anzac Avenue,Seymour,VIC,3660,-37.09,145.5,5734 6453,NA
NA,41-42 Marungi Street,Shepparton,VIC,3630,-36.36,145.4,1300 374 765,NA
NA,"5 Anderson Street, Skipton",Skipton,VIC,3361,-37.78,143.41,5597 6658,NA
NA,1085 Frankston Flinders Road,Somerville,VIC,3912,-38.2,145.23,5950 1638,NA
Sorrento Community Centre,860-868 Melbourne Road,Sorrento,VIC,3943,-38.34,144.74,5984 3360,NA
NA,"195 Bank Street, South Melbourne",South Melbourne,VIC,3205,-37.93,145.03,9209 6611,NA
Southbank Library at Boyd,"207 City Rd, 3006",Southbank,VIC,3006,-37.82,144.97,9658 8300,NA
NA,5 Hillcrest Grove,Springvale,VIC,3171,-37.95,145.16,8571 5398,NA
NA,71A Alfrieda Street,St Albans,VIC,3021,-37.75,144.77,9249 4650,NA
NA,"Market Square, Rear 40 Napier St",St Arnaud,VIC,3478,-36.54,142.92,5495 2188,NA
NA,150 Carlisle Street,St Kilda,VIC,3182,-37.87,144.98,9209 6655,NA
NA,Stanley Athenaeum & Public Room,Stanley,VIC,3747,-36.36,146.69,0458 606 922,NA
NA,7-9 Sloane Street,Stawell,VIC,3380,-37.16,142.7,5358 1274,NA
NA,70 Tyers Street,Stratford,VIC,3862,-37.57,147.19,5145 6403,NA
NA,44 Macedon Street,Sunbury,VIC,3429,-37.58,144.73,9356 6970,NA
NA,301 Hampshire Road,Sunshine,VIC,3020,-37.78,144.82,9249 4640,NA
NA,53 Campbell Street,Swan Hill,VIC,3585,-35.42,143.59,5036 2480,NA
NA,"1 Station St, Taylors Lakes",Sydenham,VIC,3037,-37.72,144.78,9249 4680,NA
NA,35 Towong Street,Tallangatta,VIC,3700,-36.18,147.34,02 6071 2955,NA
Julia Gillard Library,150 Sunset Views Boulevard,Tarneit,VIC,3029,-37.88,144.7,8734 0200,NA
NA,12-16 Casey Street,Tatura,VIC,3616,-36.42,145.07,1300 374 765,NA
NA,135 High Street,Terang,VIC,3264,-38.24,142.91,5592 1397,NA
NA,"The Pines Shopping Centre,",The Pines,VIC,3109,-37.81,145.19,9877 8550,NA
NA,52 Main Street,Thomastown,VIC,3074,-37.68,145.01,9464 1864,NA
NA,Wark Street,Timboon,VIC,3268,-38.42,142.86,5598 3394,NA
NA,Mangan Street,Tongala,VIC,3621,-36.27,144.85,5481 2821,NA
Toora Mechanics’ Institute Library,23 Gray Street,Toora,VIC,3962,-38.67,146.4,5676 2360,NA
NA,340 Toorak Road,Toorak,VIC,3142,-37.84,145,8290 8000,NA
NA,"Surf City Plaza, Beach Road",Torquay,VIC,3228,-38.33,144.26,4201 0667,NA
NA,34-38 Kay Street,Traralgon,VIC,3844,-38.41,146.64,5176 3300,NA
NA,13 Albert Street,Trentham,VIC,3458,-37.45,144.29,5424 1326,NA
NA,Spring Street,Tullamarine,VIC,3043,-37.69,144.88,9356 6966,NA
NA,Pavey Place,Vermont South,VIC,3133,-37.84,145.19,9872 8650,NA
NA,Cowslip Street,Violet Town,VIC,3669,-36.7,145.77,1300 374 765,NA
NA,Wellington Square Shopping Centre,Wallan,VIC,3756,-37.4,144.8,5734 6454,NA
NA,21 Docker Street,Wangaratta,VIC,3676,-36.34,146.34,5721 2366,NA
NA,"Knox City Shopping Centre, Shop 1001/509,",Wantirna South,VIC,3152,-37.87,145.24,1300 737 277,NA
NA,36 Lyle St,Warracknabeal,VIC,3393,-36.33,142.36,5398 0100,NA
NA,75 Victoria Street,Warragul,VIC,3820,-38.21,145.96,5622 2848,NA
Warrandyte Community Centre,168 Yarra Street,Warrandyte,VIC,3113,-37.73,145.22,9895 4250,NA
NA,8 Kepler Street,Warrnambool,VIC,3280,-38.36,142.44,5559 4990,NA
NA,4-6 Ibbottson Street,Watsonia,VIC,3087,-37.71,145.08,9435 2397,NA
NA,230 Pioneer Road,Waurn Ponds,VIC,3216,-38.18,144.34,4201 0670,NA
NA,14 Main Street,Welshpool,VIC,3966,-38.58,146.45,5688 1051,NA
NA,"Stockland Wendouree, Gillies Street",Wendouree,VIC,3355,-37.55,143.82,5339 3505,NA
Community Cultural Centre,177 Watton Street,Werribee,VIC,3030,-37.97,144.58,9742 7999,NA
NA,539 Barkly Street,West Footscray,VIC,3012,-37.81,144.85,9688 0292,NA
NA,860 Ferntree Gully Road,Wheelers Hill,VIC,3150,-37.88,145.17,9265 4877,NA
NA,57-61 Laurel Street,Whittlesea,VIC,3757,-37.45,145.11,9716 3028,NA
Williams Landing Library Lounge,1/101 Overton Road,Williams Landing,VIC,3027,-37.86,144.76,8754 4978,NA
NA,Williams Landing Book Locker,Williams Landing,VIC,3027,-37.86,144.76,8754 4978,NA
