_id,Name,Street Address,Street Suburb,Street State,Street Postcode,Postal Address,Postal Suburb,Postal State,Postal Postcode,Phone,Latitude (Decimal),Longitude (Decimal),Elevation from Sea Level (in m)
23,Bolgart Public Library,"Bolgart Memorial Hall, George Street",Bolgart,WA,6568,C/- Post Office,Bolgart,WA,6568,08 9627 5217,-31.27237,116.50932,243
24,Boya Public Library,119-135 Scott Street,Helena Valley,WA,6056,119-135 Scott Street,Helena Valley,WA,6056,08 9290 6755,-31.91818239,116.048238,26
25,Boyanup Public Library,12 Thomas Street,Boyanup,WA,6237,"Jack and Mary Kitchen Community Centre, Thomas Street",Boyanup,WA,6237,08 9731 5639,-33.48334,115.72888,40
26,Boyup Brook Public Library,55 Abel Street,Boyup Brook,WA,6244,PO Box 2,Boyup Brook,WA,6244,08 9765 1200,-33.83221,116.38642,213
27,Bremer Bay Public Library,Mary Street,Bremer Bay,WA,6338,Post Office,Bremer Bay,WA,6338,08 9837 4171,-34.3924,119.37888,14
28,Bridgetown Public Library,75 Steere Street,Bridgetown,WA,6255,PO Box 271,Bridgetown,WA,6255,08 9761 2503,-33.95821,116.14543,179
29,Brookton Public Library,14 White Street,Brookton,WA,6306,PO BOX 42,Brookton,WA,6306,08 9642 1106,-32.36883428,117.0071733,246
30,Broome Public Library,Cnr Haas and Hammersleys Streets,Broome,WA,6725,PO Box 44,Broome,WA,6725,08 9191 3477,-17.9602,122.23991,16
31,Broomehill Public Library,30360 Great Southern Highway,Broomehill Village,WA,6318,30360 Great Southern Hwy,Broomehill Village,WA,6318,08 9825 3555,-33.84429,117.6388,327
32,Bruce Rock Public Library,54 Johnson Street,Bruce Rock,WA,6418,PO Box 113,Bruce Rock,WA,6418,08 9061 1377,-31.87902,118.1484,286
33,Bull Creek Public Library,Cnr Leichhardt Street and Hassell Crescent,Bull Creek,WA,6149,24 Leichhardt Street,Bull Creek,WA,6149,08 9364 0150,-32.06373,115.85558,21
34,Bullsbrook Community Library,3 Maroubra Avenue,Bullsbrook,WA,6084,3 Maroubra Avenue,Bullsbrook,WA,6084,08 9207 8989,-31.66754529,116.032024,54
35,Bunbury Public Library,Parkfield Street,Bunbury,WA,6230,PO Box 1981,Bunbury,WA,6231,08 9792 7190,-33.32792,115.63695,16
36,Busselton Public Library,Stanley Street,Busselton,WA,6280,Locked Bag 1,Busselton,WA,6280,08 9754 1588,-33.65096,115.34761,6
37,Calingiri Public Library,28 Cavell Street,Calingiri,WA,6569,PO Box 21,Calingiri,WA,6569,08 9628 7004,-31.08893,116.44817,262
38,Cambridge Public Library,99 The Boulevard,Floreat,WA,6014,PO Box 15,Floreat,WA,6014,08 9383 8999,-31.93669,115.79336,21
39,Canning Bridge Public Library,2 Kintail Road,Applecross,WA,6153,Locked Bag 1,Booragoon,WA,6154,08 9364 0121,-32.01087,115.85059,2
40,Cannington Public Library,Cnr Sevenoaks and Wharf Streets,Cannington,WA,6107,233 Sevenoaks Street,Cannington,WA,6107,08 6350 7350,-32.01029,115.94095,8
41,Capel Public Library,Forrest Road,Capel,WA,6271,PO Box 369,Capel,WA,6271,08 9727 0290,-33.55358,115.56306,16
42,Carnamah Public Library,MacPherson Street,Carnamah,WA,6517,PO Box 80,Carnamah,WA,6517,08 9951 7000,-29.68774,115.88602,272
43,Carnarvon Public Library,18 Egan Street,Carnarvon,WA,6701,PO Box 459,Carnarvon,WA,6701,08 9941 3727,-24.88424,113.65882,8
44,Cervantes Public Library,Aragon Street,Cervantes,WA,6511,PO Box 54  Post Office,Cervantes,WA,6511,08 9652 7647,-30.5004,115.07166,10
45,Christmas Island Public Library,"George Fam Centre, 2 Murray Road",Christmas Island Indian Ocean,WA,6798,PO Box 863,Christmas Island Indian Ocean,WA,6798,08 9164 8300,-10.42157,105.6743,51
46,Claremont Public Library,327 Stirling Highway,Claremont,WA,6010,327 Stirling Highway,Claremont,WA,6010,08 9285 4353,-31.98333,115.77995,14
47,Clarkson Public Library,27 Ocean Keys Boulevard,Clarkson,WA,6030,Locked Bag 1,Wanneroo,WA,6946,08 9407 1600,-31.68937,115.71749,38
48,Cocos Home Island Public Library,"Home Island Campus, Cocos Islands District High School",Cocos (Keeling) Islands,WA,6799,"Shire of Cocos (Keeling) Islands, PO Box 1094, Home Island",Cocos (Keeling) Islands Indian Ocean,WA,6799,08 9162 7592,-12.11855,96.89786,8
49,Cocos West Island Public Library,Airforce Road,Cocos (Keeling) Islands,WA,6799,"Shire of Cocos (Keeling) Islands, PO Box 1094, Home Island",Cocos (keeling) Islands Indian Ocean,WA,6799,08 9162 6650,-12.18839,96.82928,8
50,Collie Public Library,Cnr Wittenoom and Steere Streets,Collie,WA,6225,Wittenoom Street,Collie,WA,6225,08 9734 9042,-33.3615,116.15447,195
51,Coolbellup Public Library,90 Cordelia Avenue,Coolbellup,WA,6163,PO Box 1215,Bibra Lake Dc,WA,6965,08 9411 3830,-32.08295,115.809,51
52,Coolgardie Public Library,69 Sylvester Street,Coolgardie,WA,6429,69 Sylvester Street,Coolgardie,WA,6429,08 9025 0301,-30.95377,121.16437,430
53,Coorow Public Library,Main Street,Coorow,WA,6515,PO Box 42,Coorow,WA,6515,08 9952 0100,-29.88089,116.02395,272
54,Corrigin Public Library,55 Larke Crescent,Corrigin,WA,6375,PO Box 221,Corrigin,WA,6375,08 9063 2778,-32.33103876,117.8764665,303
55,Cottesloe/Peppermint Grove/Mosman Park Public Library,1 Leake Street,Peppermint Grove,WA,6011,1 Leake Street,Peppermint Grove,WA,6011,08 9286 8686,-31.99745,115.76404,7
56,Cranbrook Public Library,140 Climie Street,Cranbrook,WA,6321,PO Box 137,Cranbrook,WA,6321,08 9826 1234,-34.29635,117.53576,258
57,Cue Public Library,Lot 2 Austin Street,Cue,WA,6640,POBox 84,Cue,WA,6640,08 9963 8600,-27.4232,117.89918,459
58,Cunderdin Public Library,57 Main Street,Cunderdin,WA,6407,57 Main Street,Cunderdin,WA,6407,08 9635 1784,-31.65077,117.23971,228
59,Dalwallinu Public Library,Johnston Street,Dalwallinu,WA,6609,PO Box 141,Dalwallinu,WA,6609,08 9661 1805,-30.27554,116.66283,341
60,Dalyellup Public Library,"Shop 2/54 Tiffany Centre, Dalyellup Shopping Centre",Dalyellup,WA,6230,"Shop 2/54 Tiffany Centre, Dalyellup Shopping Centre",Dalyellup,WA,6230,08 9795 7815,-33.39780471,115.634687,11
61,Dampier Public Library,High Street,Dampier,WA,6713,High Street,Dampier,WA,6713,08 9183 1562,-20.66304,116.70687,23
62,Dandaragan Public Library,3468 Dandaragan Road,Dandaragan,WA,6507,PO Box 8,Dandaragan,WA,6507,08 9651 4056,-30.30708,115.03782,5
63,Dardanup Public Library,3 Little Street,Dardanup,WA,6236,3 Little Street,Dardanup,WA,6236,08 9728 1422,-33.39958,115.75616,32
64,Darkan Public Library,27 Burrowes Street,Darkan,WA,6392,27 Burrowes Street,Darkan,WA,6392,08 9736 2000,-33.33682,116.74094,279
65,Denmark Public Library,Strickland Street,Denmark,WA,6333,Strickland Street,Denmark,WA,6333,08 9848 3006,-34.95931,117.36545,18
66,Derby Public Library,Clarendon Street,Derby,WA,6728,PO Box 94,Derby,WA,6728,08 9191 0900,-17.30353,123.62823,13
67,Dianella Public Library,"Dianella Plaza Shopping Centre, Waverley Street",Dianella,WA,6059,Waverley Street,Dianella,WA,6059,08 9205 7740,-31.89624,115.8732,28
68,Dongara Public Library,9 Waldeck Street,Dongara,WA,6525,PO Box 21,Dongara,WA,6525,08 9927 1859,-29.25195,114.93056,17
69,Donnybrook Public Library,Cnr Bentley and Emerald Streets,Donnybrook,WA,6239,Emerald Street,Donnybrook,WA,6239,08 9731 0432,-33.57467,115.82113,68
70,Dowerin Public Library,13 Stewart Street,Dowerin,WA,6461,PO Box 14,Dowerin,WA,6461,08 9631 1662,-31.19536,117.03118,281
71,Dumbleyung Public Library,28 Absolon Street,Dumbleyung,WA,6350,28 Absolon Street,Dumbleyung,WA,6350,08 9863 4829,-33.31448103,117.7400172,276
72,Duncraig Public Library,40 Warwick Road,Duncraig,WA,6023,40 Warwick Road,Duncraig,WA,6023,08 9447 9533,-31.8356,115.76523,29
73,Dunsborough Public Library,"Naturaliste Community Centre, Dunsborough Lakes Drive",Dunsborough,WA,6281,Locked Bag 3,Dunsborough,WA,6281,08 9756 7111,-33.62092,115.10481,16
74,Eaton Public Library,20 Recreation Drive,Eaton,WA,6232,20 Recreation Drive,Eaton,WA,6232,08 9724 4466,-33.31793,115.72253,17
75,Ellenbrook Public Library,90 Main Street,Ellenbrook,WA,6069,PO Box 2199,Ellenbrook,WA,6069,08 9297 9600,-31.78373,115.96469,59
76,Eneabba Public Library,Eneabba Drive,Eneabba,WA,6518,PO Box 45,Eneabba,WA,6518,08 9955 1058,-29.8226,115.26754,99
77,Esperance Public Library,Windich Street,Esperance,WA,6450,PO Box 507,Esperance,WA,6450,08 9083 1500,-33.85955,121.89086,11
78,Exmouth Public Library,"Ningaloo Centre, 2 Truscott Cres,",Exmouth,WA,6707,PO Box 21,Exmouth,WA,6707,08 9949 3056,-21.93649723,114.130429,8
79,Falcon Public Library,Cnr Flavia Street and Cobblers Road,Falcon,WA,6210,PO Box 210,Mandurah,WA,6210,08 9550 3230,-32.58478,115.65836,4
80,Fitzroy Crossing Public Library,"Tourist Bureau, Flynn Drive",Fitzroy Crossing,WA,6765,PO Box 101,Fitzroy Crossing,WA,6765,08 9191 5355,-18.19703,125.56724,117
81,Forrestfield Public Library,3 Salix Way,Forrestfield,WA,6058,3 Salix Way,Forrestfield,WA,6058,08 9257 9975,-31.98533,116.00934,45
82,Frankland Public Library,55 Wingebellup Road,Frankland River,WA,6396,55 Wingebellup Road,Frankland River,WA,6396,08 9855 2209,-34.36246,117.08175,235
83,Fremantle City Library,"Fremantle Oval, 70 Parry Street",Fremantle,WA,6160,PO Box 807,Fremantle,WA,6959,08 9432 9766,-32.05719074,115.7512236,11
84,Gascoyne Junction,5 Scott Street,Gascoyne Junction,WA,6705,5 Scott Street,Gascoyne Junction,WA,6705,08 9943 0988,-25.05433,115.20887,149
85,Geraldton Regional Library,37 Marine Terrace,Geraldton,WA,6530,PO Box 101,Geraldton,WA,6531,08 9956 6659,-28.77213,114.61189,8
86,Gingin Public Library,1A Lily King Place,Gingin,WA,6503,1A Lily King Place,Gingin,WA,6503,08 9575 1253,-31.34609,115.90425,103
87,Girrawheen Public Library,6 Patrick Court,Girrawheen,WA,6064,Locked Bag 1,Wanneroo,WA,6946,08 9342 8844,-31.83968,115.83871,66
88,Gnowangerup Public Library,Yougenup Road,Gnowangerup,WA,6335,Yougenup Road,Gnowangerup,WA,6335,08 9827 1635,-33.93667,118.00688,262
89,Goomalling Public Library,51 - 53 Railway Terrace,Goomalling,WA,6460,PO Box 167,Goomalling,WA,6460,08 9629 1570,-31.29898,116.82645,247
90,Gosnells Public Library,"The Agonis, 2232D Albany Highway",Gosnells,WA,6110,PO Box 662,Gosnells,WA,6990,08 9391 6000,-32.07075,116.00188,20
91,Green Head Public Library,Greenhead Road,Green Head,WA,6514,PO Box 33,Green Head,WA,6514,08 9953 1255,-29.94719,114.97745,6
92,Guildford Public Library,97 James Street,Guildford,WA,6055,97 James Street,Guildford,WA,6055,08 9378 1770,-31.89953,115.97226,11
93,Halls Creek Public Library,71 Thomas Street,Hall's Creek,WA,6770,PO Box 21,Halls Creek,WA,6770,08 9168 6007,-18.22529,127.66728,415
94,Harvey Public Library,Young Street,Harvey,WA,6220,PO Box 500,Harvey,WA,6220,08 9729 1080,-33.07922,115.89326,40
95,High Wycombe Public Library,15 Markham Road,High Wycombe,WA,6057,Markham Road,High Wycombe,WA,6057,08 9257 9974,-31.94027,116.00407,38
96,Hopetoun Public Library,Unit 2 / 46 Veal Street,Hopetoun,WA,6348,PO Box 179,Hopetoun,WA,6348,08 9838 3062,-33.94793,120.12662,10
97,Hyden Public Library,12 McPherson Street,Hyden,WA,6359,PO Box 4,Hyden,WA,6359,08 9880 5160,-32.44898,118.86284,302
98,Inglewood Public Library,Cnr Beaufort Street and Tenth Avenue,Inglewood,WA,6052,"Inglewood Civic Centre, 895 Beaufort Street",Inglewood,WA,6052,08 9205 7700,-31.92092,115.88541,23
99,Jerramungup Public Library,8-10 Tobruk Street,Jerramungup,WA,6337,Po Box 76,Jerramungup,WA,6337,08 9835 1630,-33.94034,118.9183,320
100,Joondalup Public Library,102 Boas Avenue,Joondalup,WA,6027,PO Box 21,Joondalup,WA,6919,08 9400 4707,-31.74354,115.7735,53
101,Jurien Public Library,67 Bashford Street,Jurien Bay,WA,6516,PO Box 676,Jurien Bay,WA,6516,08 9652 0810,-30.30672556,115.0380242,5
102,Kalamunda Public Library,7 Williams Street,Kalamunda,WA,6076,7 Williams Street,Kalamunda,WA,6076,08 9257 9969,-31.97128,116.05984,288
103,Kalbarri Public Library,Grey Street,Kalbarri,WA,6536,PO Box   563,Kalbarri,WA,6536,08 9937 1097,-27.70922,114.16609,10
104,Kalgoorlie-Boulder Public Library,Roberts Street,Kalgoorlie,WA,6430,PO Box  2042,Boulder,WA,6432,08 9021 7112,-30.75328,121.47879,379
105,Kambalda Public Library,4 Barnes Drive,Kambalda,WA,6442,PO Box 138,Kambalda,WA,6442,08 9080 2119,-31.20904,121.62172,307
106,Karratha Public Library,"Red Earth Arts Precinct, 27 Welcome Road",Karratha,WA,6714,PO Box 219,Karratha,WA,6714,08 9186 8660,-20.73728169,116.8450016,17
107,Karrinyup Public Library,Davenport Street,Karrinyup,WA,6018,PO Box 79,Karrinyup 6921,WA,6018,08 9205 7400,-31.87608,115.77908,48
108,Katanning Public Library,Austral Terrace,Katanning,WA,6317,PO Box 130,Katanning,WA,6317,08 9821 4300,-33.69016,117.55394,317
109,Kellerberrin Public Library,94 Massingham Street,Kellerberrin,WA,6410,PO Box 152,Kellerberrin,WA,6410,08 9045 4991,-31.63368,117.72204,252
110,Kelmscott Public Library,"Stargate Shopping Centre, 2784 Albany Highway",Kelmscott,WA,6111,Locked Bag 2,Armadale,WA,6992,08 9394 5810,-32.11352201,116.0147291,30
111,Kenwick Public Library,80 Kenwick Road,Kenwick,WA,6107,PO Box 662,Gosnells,WA,6990,08 9397 3099,-32.03399,115.9783,12
112,Kojonup Public Library,93 Albany Highway,Kojonup,WA,6395,PO Box 163,Kojonup,WA,6395,08 9831 2412,-33.83225,117.15943,331
113,Kondinin Public Library,11 Gordon Street,Kondinin,WA,6367,PO Box 7,Kondinin,WA,6367,08 9889 1006,-32.49543,118.267,277
114,Koorda Public Library,Cnr Allenby and Haig Street,Koorda,WA,6475,PO Box 20,Koorda,WA,6475,08 9684 1219,-30.8246,117.4839,316
115,Kukerin Public Library,Manser Street,Kukerin,WA,6352,Manser Street,Kukerin,WA,6352,08 9864 6199,-33.18547,118.08611,324
116,Kulin Public Library,Johnson Street,Kulin,WA,6365,PO Box 223,Kulin,WA,6365,08 9880 1242,-32.66902,118.15599,311
117,Kununurra Public Library,Mangaloo Street,Kununurra,WA,6743,PO Box 666,Kununurra,WA,6743,08 9169 1227,-15.77649,128.73486,47
118,Kwinana Public Library,Cnr Robbos Way and Chisham Avenue,Kwinana Town Centre,WA,6167,PO Box 21,Kwinana,WA,6966,08 9236 4300,-32.24307,115.814,14
119,Lake Grace Public Library,Absolon Street,Lake Grace,WA,6353,Absolon Street,Lake Grace,WA,6353,08 9865 1185,-33.10368,118.46054,290
120,Lake King Public Library,Newdegate-Ravensthorpe Road,Lake King,WA,6356,Post Office,Lake King,WA,6356,08 9874 4147,-33.08904,119.67479,339
121,Lakelands Public Library,"49 Banksiadale Gate, Lakelands Shopping Centre",Lakelands,WA,6210,PO Box 210,Mandurah,WA,6210,08 9550 3835,-32.47222844,115.7600641,5
122,Lancelin Public Library,Vins Way,Lancelin,WA,6044,PO Box 13,Lancelin,WA,6044,08 9655 2725,-31.01935,115.33276,8
123,Latham Public Library,Britt Street,Latham,WA,6616,Post Office,Latham,WA,6616,08 9973 1002,-29.75714,116.44402,289
124,Laverton Public Library,"Shop 4, Laver Place",Laverton,WA,6440,"Shop 4, Laver Place",Laverton,WA,6440,08 9031 1800,-28.62596,122.40408,463
125,Leeman Public Library,20 Morcombe Road,Leeman,WA,6514,PO Box 238,Leeman,WA,6514,08 9953 1388,-29.94986,114.98114,5
126,Leonora Public Library,16 Tower Street,Leonora,WA,6438,PO Box 56,Leonora,WA,6438,08 9037 7016,-28.8835,121.33117,383
127,Lesmurdie School Community Library,21 Reid Road,Lesmurdie,WA,6076,21 Reid Road,Lesmurdie,WA,6076,08 9257 9976,-32.01252,116.05164,274
128,Mandurah Public Library,331 Pinjarra Road,Mandurah,WA,6210,PO Box 210,Mandurah,WA,6210,08 9550 3650,-32.5382,115.74062,6
129,Manjimup Public Library,57-59 Rose Street,Manjimup,WA,6258,PO Box 1,Manjimup,WA,6258,08 9771 2895,-34.23877,116.1461,280
130,Manning Public Library,2 Conochie Crescent,Manning,WA,6152,C/O South Perth Library,South Perth,WA,6151,08 9474 0822,-32.0154479,115.8674699,9
131,Marble Bar Public Library,20 Francis Street,Marble Bar,WA,6760,PO Box 4,Marble Bar,WA,6760,08 9176 1008,-21.1728,119.74546,182
132,Margaret River Public Library,Fearn Avenue,Margaret River,WA,6285,Post Office Box 61,Margaret River,WA,6285,08 9780 5600,-33.95128,115.07132,96
133,Maylands Public Library,"The Rise, 28 Eighth Avenue",Maylands,WA,6051,PO Box 149,Maylands,WA,6931,08 9208 2450,-31.93084,115.89531,18
134,Meekatharra Public Library,Main Street,Meekatharra,WA,6642,PO Box 129,Meekatharra,WA,6642,08 9980 0600,-26.59312,118.49594,522
135,Melville Civic Square Public Library,10 Almondbury Road,Booragoon,WA,6154,Locked Bag 1,Booragoon,WA,6954,08 9364 0138,-32.03329,115.83332,38
136,Menzies Public Library,Cnr Shenton and Brown Streets,Menzies,WA,6436,PO Box 4,Menzies,WA,6436,08 9024 2702,-29.69447,121.02923,430
137,Merredin Public Library,22 Coronation Street,Merredin,WA,6415,Queen Street,Merredin,WA,6415,08 9041 1222,-31.47908,118.27716,322
138,Midland Public Library,45 Helena Street,Midland,WA,6056,PO Box 5025,Midland,WA,6056,08 9267 9020,-31.88937,116.00272,15
139,Mingenew Public Library,Victoria Street,Mingenew,WA,6522,PO Box 120,Mingenew,WA,6522,08 9928 1102,-29.19034,115.44236,159
140,Mirrabooka Public Library,21 Sudbury Road,Mirrabooka,WA,6061,21 Sudbury Rd,Mirrabooka,WA,6061,08 9205 7300,-31.8691,115.85946,64
141,Mogumber Public Library,"Old School Building, Mogumber Yarrawindah Road",Mogumber,WA,6506,Mogumber Public Library,Mogumber,WA,6506,08 9651 9015,-31.03802,116.04642,183
142,Moora Public Library,34 Padbury Street,Moora,WA,6510,PO Box 211,Moora,WA,6510,08 9651 0000,-30.64155,116.00761,209
143,Morawa Public Library,Winfield Street,Morawa,WA,6623,PO Box 14,Morawa,WA,6623,08 9971 1204,-29.21012,116.00906,281
144,Morley Public Library,240 Walter Road West,Morley,WA,6062,PO BOX 508,Morley,WA,6943,08 9272 0980,-31.89594362,115.8959794,31
145,Mount Barker Public Library,Lowood Road,Mount Barker,WA,6324,PO Box 48,Mount Barker,WA,6324,08 9851 2661,-34.62292,117.6606,249
146,Mount Claremont Public Library,105 Montgomery Avenue,Mt Claremont,WA,6010,PO Box 9,Nedlands,WA,6909,08 9383 1462,-31.98332,115.77997,14
147,Mount Magnet Public Library,29 Attwood Street,Mount Magnet,WA,6638,PO Box 62,Mt Magnet,WA,6638,08 9963 4480,-28.06221352,117.8481138,429
148,Mukinbudin Public Library,15 Maddock Street,Mukinbudin,WA,6479,PO Box 67,Mukinbudin,WA,6479,08 9047 2100,-30.91599,118.20751,312
149,Mullewa Public Library,Cnr Padbury and Thomas Street,Mullewa,WA,6630,PO Box 166,Mullewa,WA,6630,08 9961 1007,-28.54028,115.51085,279
150,Mundaring Public Library,1 Nichol Street,Mundaring,WA,6073,Nichol Street,Mundaring,WA,6073,08 9290 6780,-31.90303,116.16561,300
151,Mundijong Public Library,10 Paterson Street,Mundijong,WA,6123,Paterson Street,Mundijong,WA,6123,08 9526 1133,-32.29741,115.98456,40
152,Munglinup Public Library,,,,,RMB 7195,Esperance,WA,6450,08 9075 1174,-33.70938,120.86362,68
153,Murchison Public Library,Carnarvon-Mullewa Road,Murchison,WA,6630,PO Box 61,Mullewa,WA,6630,08 9963 7999,-26.89346,115.9566,294
154,Murray Public Library,Cnr Pinjarra Road and Forrest Street,Pinjarra,WA,6208,PO Box 21,Pinjarra,WA,6208,08 9531 7712,-32.62745,115.87169,11
155,Nabawa Public Library,3270 Chapman Valley Road,Nabawa,WA,6532,PO Box 1,Nabawa,WA,6532,08 9920 5011,-28.50131,114.78955,150
156,Nannup Public Library,15 Adam Street,Nannup,WA,6275,PO Box 11,Nannup,WA,6275,08 9756 1018,-33.97948,115.76518,75
157,Narembeen Public Library,"Narembeen Community Resource Centre, 2/19 Churchill St",Narembeen,WA,6369,2/19 Churchill St,Narembeen,WA,6369,08 9064 7055,-32.06557215,118.394388,280
158,Narrogin Regional Library,89 Earl St,Narrogin,WA,6312,PO Box 1145,Narrogin,WA,6312,08 9881 1751,-32.93483768,117.1766371,361
159,Nedlands Public Library,60-64 Stirling Highway,Nedlands,WA,6009,PO Box 9,Nedlands,WA,6909,08 9273 3644,-31.97882,115.80699,29
160,Newdegate Public Library,Collier Street,Newdegate,WA,6355,PO Box 142,Newdegate,WA,6355,08 9871 1791,-33.0937,119.02193,308
161,Newman Community Library,100 Kalgan Drive,Newman,WA,6753,Kalgan Drive,Newman,WA,6753,08 9175 2782,-23.36315,119.74368,544
162,Norseman Public Library,88 - 92 Prinsep Street,Norseman,WA,6443,PO Box 163,Norseman,WA,6443,08 9039 1205,-32.1988,121.77926,284
163,Northam Public Library,298 Fitzgerald Street,Northam,WA,6401,PO Box 613,Northam,WA,6401,08 9621 1600,-31.656,116.66838,152
164,Northampton Public Library,199 Hampton Road,Northampton,WA,6535,PO Box 61,Northampton,WA,6535,08 9934 1202,-28.35168,114.63007,166
165,Northcliffe Public Library,Lot 178 Muirillup Road,Northcliffe,WA,6262,Post Office,Northcliffe,WA,6262,08 9776 7168,-34.63248,116.12537,103
166,Nullagine Public Library,39 Gallop Road,Nullagine,WA,6758,C/- Nullagine Post Office,Nullagine,WA,6758,08 9176 2063,-21.88979,120.1061,383
167,Nungarin Public Library,Railway Avenue,Nungarin,WA,6490,PO Box 8,Nungarin,WA,6490,08 9046 5006,-31.18396,118.10081,296
168,Nyabing Public Library,24-26 Richmond Street,Nyabing,WA,6341,PO Box 15,Nyabing,WA,6341,08 9829 1051,-33.54155,118.14994,326
169,Ongerup Public Library,Jaekel Street,Ongerup,WA,6336,Jaekel Street,Ongerup,WA,6336,08 9828 2325,-33.96370908,118.4784627,299
170,Onslow Public Library,Second Avenue,Onslow,WA,6710,Post Office Box 20,Onslow,WA,6710,08 9184 9311,-21.63700764,115.112623,8
171,Osborne Park Public Library,9 Royal Street,Tuart Hill,WA,6060,9 Royal Street,Tuart Hill,WA,6060,08 9205 7900,-31.89621,115.82933,32
172,Pannawonica Public Library,Pannawonica Drive,Pannawonica,WA,6716,Box 263,Pannawonica,WA,6716,08 9134 9501,-21.63919,116.32436,201
173,Paraburdoo Public Library,Ashburton Avenue,Paraburdoo,WA,6754,PO Box 92,Paraburdoo,WA,6754,08 9190 2222,-23.20003,117.6654,390
174,Pemberton Public Library,Lot 242 Brockman Street,Pemberton,WA,6260,Brockman Street,Pemberton,WA,6260,08 9776 1311,-34.44478,116.03421,127
175,Perenjori Public Library,56 Fowler Street,Perenjori,WA,6620,PO Box 22,Perenjori,WA,6620,08 9973 0100,-29.44039,116.2857,284
176,Perth City Public Library,573 Hay Street,Perth,WA,6000,PO Box C120,Perth,WA,6839,08 9461 3500,-31.95515,115.86129,17
177,Pingelly Public Library,18 Parade Street,Pingelly,WA,6308,18 Parade Street,Pingelly,WA,6308,08 9887 1409,-32.53447,117.08437,306
178,Pingrup Public Library,Lot 2 Burston Street,Pingrup,WA,6343,Lot 2 Burston Street,Pingrup,WA,6343,08 9820 1101,-33.53286,118.51133,293
